dataset,problem,file,lines,before,after
all_py,1327,683931.py,28,661,31
all_py,1327,684615.py,39,1170,53
all_py,1335,712546.py,14,362,22
all_py,1335,765896.py,27,532,32
all_py,1335,696111.py,29,617,38
all_py,1336,726527.py,16,354,26
all_py,1336,778507.py,18,432,27
all_py,1336,724640.py,22,521,31
all_py,1336,726691.py,30,653,50
all_py,1336,776903.py,60,1844,132
all_py,1337,720157.py,3,92,4
all_py,1337,712157.py,23,677,42
all_py,1337,720352.py,32,820,55
all_py,1337,718220.py,47,935,61
all_py,1337,719648.py,49,1273,66
all_py,1338,776320.py,16,551,29
all_py,1338,776166.py,37,654,55
all_py,1338,776540.py,36,897,55
all_py,1338,139727.py,34,1242,70
all_py,1338,776530.py,52,1424,82
all_py,1339,802151.py,25,535,36
all_py,1339,724630.py,27,682,47
all_py,1339,727106.py,31,732,48
all_py,1339,726568.py,44,858,62
all_py,1339,724609.py,41,1205,49
all_py,1340,724803.py,32,1181,54
all_py,1340,726572.py,59,1230,67
all_py,1340,726401.py,46,1269,61
all_py,1340,751362.py,48,1421,69
all_py,1340,727325.py,62,1536,77
all_py,1342,786715.py,10,332,15
all_py,1342,136297.py,9,370,14
all_py,1342,711783.py,12,392,16
all_py,1342,766485.py,42,1396,34
all_py,1343,743084.py,14,332,23
all_py,1343,746906.py,16,394,28
all_py,1343,743909.py,20,456,31
all_py,1343,743511.py,24,503,40
all_py,1343,742501.py,23,673,36
all_py,1344,742636.py,29,499,38
all_py,1344,743486.py,30,637,39
all_py,1344,743911.py,28,687,42
all_py,1344,743088.py,28,754,45
all_py,1344,743546.py,46,1098,66
all_py,1347,724687.py,18,504,27
all_py,1347,726477.py,18,657,28
all_py,1347,726468.py,43,860,40
all_py,1347,727374.py,45,1181,61
all_py,1347,727127.py,63,1541,84
all_py,1351,713583.py,22,730,37
all_py,1372,771668.py,2,149,3
all_py,1372,693083.py,6,196,9
all_py,1372,770594.py,7,220,12
all_py,1372,770323.py,11,264,19
all_py,1372,792059.py,27,344,29
all_py,1374,702635.py,2,170,3
all_py,1374,799808.py,8,258,11
all_py,1374,724435.py,11,337,15
all_py,1374,711958.py,23,412,22
all_py,1374,801408.py,13,584,19
all_py,1379,145544.py,7,203,8
all_py,1379,145393.py,9,252,16
all_py,1379,145021.py,12,286,18
all_py,1379,145512.py,13,313,15
all_py,1379,146890.py,13,539,23
all_py,1380,726240.py,19,381,28
all_py,1380,727186.py,53,475,31
all_py,1380,778622.py,34,549,37
all_py,1380,725587.py,30,685,42
all_py,1380,778549.py,49,1051,70
all_py,1381,714006.py,16,491,23
all_py,1383,687033.py,16,587,29
all_py,1383,686567.py,27,688,44
all_py,1383,750377.py,48,752,44
all_py,1383,138268.py,27,893,43
all_py,1383,682995.py,57,1348,62
all_py,1385,705234.py,17,343,26
all_py,1386,784846.py,38,776,47
all_py,1386,750817.py,52,1021,70
all_py,1386,748849.py,50,1111,75
all_py,1386,771577.py,71,1207,107
all_py,1386,748654.py,90,1793,117
all_py,1387,761588.py,18,402,25
all_py,1387,696151.py,17,420,29
all_py,1387,798829.py,19,466,26
all_py,1387,694770.py,25,529,40
all_py,1387,695133.py,22,568,32
all_py,1388,715655.py,15,446,25
all_py,1389,755628.py,8,159,12
all_py,1389,711245.py,7,219,12
all_py,1389,694936.py,11,251,18
all_py,1389,136329.py,10,253,14
all_py,1389,696057.py,10,300,16
all_py,1394,708628.py,6,323,9
all_py,1394,709807.py,25,519,21
all_py,1394,150287.py,18,573,30
all_py,1394,708422.py,27,679,43
all_py,1394,150293.py,33,922,57
all_py,1395,149976.py,8,235,11
all_py,1395,149561.py,8,244,12
all_py,1395,149726.py,8,267,12
all_py,1395,150063.py,7,270,10
all_py,1395,713605.py,15,391,21
all_py,1396,774087.py,8,208,12
all_py,1396,684582.py,14,293,21
all_py,1396,684393.py,18,338,26
all_py,1396,681955.py,25,388,29
all_py,1396,773844.py,32,629,31
all_py,1397,137462.py,16,406,29
all_py,1397,723605.py,14,419,23
all_py,1397,136512.py,18,533,23
all_py,1397,135832.py,22,689,34
all_py,1397,136453.py,39,1071,56
all_py,1398,778954.py,29,1494,33
all_py,1401,708412.py,11,435,15
all_py,1401,708367.py,15,534,25
all_py,1401,704362.py,27,619,29
all_py,1401,706012.py,32,784,34
all_py,1401,709892.py,42,1060,48
all_py,1403,731169.py,23,594,35
all_py,1404,723833.py,27,722,41
all_py,1405,720246.py,26,799,37
all_py,1406,144321.py,10,435,16
all_py,1406,143766.py,14,502,21
all_py,1406,143345.py,16,569,24
all_py,1406,143593.py,20,620,30
all_py,1406,144399.py,28,916,41
all_py,1407,143361.py,9,389,15
all_py,1407,144214.py,11,448,16
all_py,1407,143686.py,11,488,23
all_py,1407,143320.py,12,532,19
all_py,1407,792108.py,30,585,38
all_py,1408,731206.py,26,743,28
all_py,1408,731509.py,34,921,23
all_py,1408,149156.py,28,1046,43
all_py,1408,148662.py,40,1172,69
all_py,1408,796416.py,69,1857,104
all_py,1411,796473.py,9,251,13
all_py,1411,768385.py,9,260,12
all_py,1411,710873.py,13,471,18
all_py,1411,139194.py,20,608,33
all_py,1411,767285.py,91,1794,116
all_py,1412,723149.py,8,278,14
all_py,1414,797067.py,41,999,61
all_py,1414,782817.py,40,1051,50
all_py,1415,714252.py,11,313,21
all_py,1415,742777.py,14,408,25
all_py,1415,797068.py,18,471,28
all_py,1444,136082.py,6,232,9
all_py,1444,137071.py,12,387,20
all_py,1444,137366.py,21,469,33
all_py,1444,136560.py,20,623,32
all_py,1444,136293.py,34,909,54
all_py,1445,768814.py,28,480,42
all_py,1445,798813.py,21,498,37
all_py,1448,721371.py,27,562,49
all_py,1448,768815.py,30,658,48
all_py,1448,798809.py,35,832,61
all_py,1449,745593.py,5,275,6
all_py,1449,720838.py,13,316,12
all_py,1449,148533.py,10,386,14
all_py,1449,148516.py,11,466,16
all_py,1449,711238.py,24,644,20
all_py,1450,695215.py,4,218,4
all_py,1450,720840.py,11,280,11
all_py,1450,143598.py,9,356,12
all_py,1450,143595.py,9,377,12
all_py,1450,712404.py,20,572,26
all_py,1452,130380.py,19,668,37
all_py,1452,798842.py,28,675,42
all_py,1453,781586.py,25,1210,34
all_py,1454,714503.py,24,566,21
all_py,1454,714467.py,17,804,24
all_py,1454,715845.py,39,960,41
all_py,1454,717550.py,34,1130,41
all_py,1454,759908.py,65,1486,80
all_py,1457,779424.py,17,466,26
all_py,1457,779271.py,16,533,30
all_py,1457,779472.py,21,588,22
all_py,1457,779050.py,29,644,41
all_py,1457,778964.py,33,825,44
all_py,1461,711515.py,9,332,14
all_py,1461,137092.py,17,460,29
all_py,1461,711434.py,16,500,27
all_py,1461,135801.py,24,565,40
all_py,1461,136986.py,31,808,51
all_py,1467,701482.py,16,530,26
all_py,1467,131814.py,17,695,27
all_py,1468,776884.py,11,533,19
all_py,1468,130391.py,25,719,44
all_py,1468,720015.py,52,841,51
all_py,1468,720155.py,28,980,43
all_py,1468,716092.py,63,1802,85
all_py,1525,781734.py,13,508,12
all_py,1525,782387.py,25,776,43
all_py,1525,743853.py,42,891,50
all_py,1525,744104.py,57,1134,70
all_py,1525,782502.py,58,1767,92
all_py,1526,130225.py,6,243,11
all_py,1526,785986.py,12,331,18
all_py,1526,798872.py,13,396,16
all_py,1526,721018.py,17,472,25
all_py,1536,798899.py,25,622,36
all_py,1536,723145.py,31,708,56
all_py,1549,130207.py,15,420,22
all_py,1549,743575.py,19,524,22
all_py,1549,743369.py,24,592,26
all_py,1549,743777.py,40,628,27
all_py,1549,743588.py,28,807,37
all_py,1550,799502.py,32,1061,51
all_py,1550,799336.py,33,1075,55
all_py,1550,799354.py,43,1168,58
all_py,1550,712073.py,39,1368,64
all_py,1550,799791.py,42,1379,64
all_py,1551,713425.py,29,741,48
all_py,1551,130208.py,25,750,51
all_py,1553,698179.py,23,954,33
all_py,1560,714016.py,10,382,17
all_py,1567,728658.py,17,542,31
all_py,1567,724799.py,23,591,33
all_py,1568,720656.py,35,884,44
all_py,1568,718934.py,37,989,44
all_py,1568,716604.py,39,1033,43
all_py,1568,720548.py,43,1132,54
all_py,1568,719210.py,47,1205,55
all_py,1574,748691.py,27,597,37
all_py,1574,128616.py,35,770,46
all_py,1575,698182.py,24,559,33
all_py,1581,720363.py,15,347,26
all_py,1588,144280.py,9,328,15
all_py,1588,706727.py,8,373,13
all_py,1588,143787.py,9,388,15
all_py,1588,143673.py,11,463,23
all_py,1588,143958.py,27,723,37
all_py,1598,139220.py,15,499,26
all_py,1598,706654.py,23,889,32
all_py,1598,703072.py,41,1020,71
all_py,1598,709080.py,43,1179,52
all_py,1598,709479.py,68,1820,89
all_py,1608,766780.py,31,662,48
all_py,1608,712077.py,39,735,56
all_py,1636,782352.py,40,1356,55
all_py,1699,133126.py,27,703,39
all_py,1699,778391.py,34,852,52
all_py,1699,778608.py,27,898,43
all_py,1699,777524.py,33,1036,59
all_py,1699,778560.py,64,1617,80
all_py,1700,698232.py,10,254,15
all_py,1701,698233.py,23,673,34
all_py,1702,714003.py,58,1775,83
all_py,1713,150007.py,6,175,10
all_py,1713,135474.py,8,223,13
all_py,1713,790570.py,10,247,16
all_py,1713,134597.py,11,266,14
all_py,1713,762223.py,23,459,21
all_py,1714,688692.py,25,737,42
all_py,1714,128601.py,28,749,43
all_py,1715,729113.py,18,399,23
all_py,1715,730164.py,34,535,30
all_py,1715,733041.py,21,582,25
all_py,1715,728402.py,33,604,33
all_py,1715,733459.py,54,885,45
all_py,1723,131302.py,5,251,8
all_py,1723,131626.py,13,387,21
all_py,1723,131525.py,15,448,25
all_py,1723,131684.py,17,475,28
all_py,1723,131587.py,21,655,35
all_py,1724,131831.py,7,210,13
all_py,1724,771814.py,11,226,14
all_py,1724,136281.py,8,256,14
all_py,1724,131741.py,10,310,17
all_py,1724,710997.py,18,399,32
all_py,1725,131304.py,9,237,14
all_py,1725,131632.py,9,302,16
all_py,1725,131675.py,13,338,20
all_py,1725,131530.py,13,397,22
all_py,1725,131526.py,19,510,31
all_py,1726,775405.py,9,306,15
all_py,1726,131529.py,11,394,15
all_py,1726,723585.py,17,440,26
all_py,1726,722726.py,23,485,30
all_py,1726,131666.py,27,680,44
all_py,1739,136963.py,9,350,16
all_py,1739,696341.py,29,602,36
all_py,1739,798820.py,23,628,38
all_py,1739,694719.py,32,811,49
all_py,1739,792117.py,56,965,65
all_py,1746,696432.py,39,1024,56
all_py,1746,725199.py,33,1254,67
all_py,1746,721271.py,55,1294,85
all_py,1747,713426.py,33,804,56
