dataset,problem,file,lines,before,after
all_py,1336,778507.py,18,728,26
all_py,1336,724640.py,22,892,29
all_py,1336,726691.py,30,1119,42
all_py,1336,776903.py,60,3236,99
all_py,1337,720157.py,3,145,4
all_py,1337,712157.py,23,1150,38
all_py,1337,720352.py,32,1451,46
all_py,1337,718220.py,47,1674,47
all_py,1337,719648.py,49,2227,56
all_py,1338,776320.py,16,1041,27
all_py,1338,776166.py,37,1294,45
all_py,1338,776540.py,36,1509,44
all_py,1338,139727.py,34,2192,52
all_py,1338,776530.py,52,2536,72
all_py,1339,802151.py,25,959,32
all_py,1339,724630.py,27,1191,40
all_py,1339,727106.py,31,1298,40
all_py,1339,726568.py,44,1486,53
all_py,1339,724609.py,41,2042,44
all_py,1340,724665.py,19,1569,17
all_py,1340,766312.py,43,2027,59
all_py,1340,727303.py,23,2434,33
all_py,1340,726579.py,23,2499,33
all_py,1340,727325.py,62,2680,69
all_py,1342,786715.py,10,514,15
all_py,1342,136297.py,9,593,14
all_py,1342,711783.py,12,594,16
all_py,1342,766485.py,42,2467,32
all_py,1343,743084.py,14,558,19
all_py,1343,746906.py,16,685,24
all_py,1343,743909.py,20,752,27
all_py,1343,743511.py,24,862,34
all_py,1343,742501.py,23,1100,33
all_py,1344,742636.py,29,871,33
all_py,1344,743486.py,30,1078,37
all_py,1344,743911.py,28,1153,38
all_py,1344,743088.py,28,1301,35
all_py,1344,743546.py,46,1964,55
all_py,1347,724687.py,18,870,22
all_py,1347,726477.py,18,1111,26
all_py,1347,726468.py,43,1478,37
all_py,1347,727374.py,45,2039,57
all_py,1347,727127.py,63,2707,75
all_py,1351,713583.py,22,1254,34
all_py,1372,771668.py,2,276,3
all_py,1372,772847.py,5,352,6
all_py,1372,770594.py,7,401,8
all_py,1372,770323.py,11,473,12
all_py,1372,792059.py,27,543,17
all_py,1374,702635.py,2,453,3
all_py,1374,799808.py,8,501,8
all_py,1374,724435.py,11,631,12
all_py,1374,711958.py,23,822,16
all_py,1374,801408.py,13,1343,15
all_py,1379,145544.py,7,323,8
all_py,1379,145393.py,9,428,13
all_py,1379,145021.py,12,468,15
all_py,1379,145512.py,13,495,14
all_py,1379,146890.py,13,910,20
all_py,1380,726240.py,19,616,27
all_py,1380,727186.py,53,743,29
all_py,1380,778622.py,34,885,35
all_py,1380,725587.py,30,1134,39
all_py,1380,778549.py,49,1692,62
all_py,1381,714006.py,16,846,20
all_py,1383,687033.py,16,964,25
all_py,1383,686567.py,27,1120,34
all_py,1383,750377.py,48,1219,38
all_py,1383,138268.py,27,1532,39
all_py,1383,682995.py,57,2241,59
all_py,1385,705234.py,17,560,23
all_py,1386,784846.py,38,1298,36
all_py,1386,750817.py,52,1800,52
all_py,1386,691291.py,51,1915,60
all_py,1386,771577.py,71,2183,71
all_py,1386,748654.py,90,2988,101
all_py,1387,761588.py,18,658,23
all_py,1387,696151.py,17,677,26
all_py,1387,798829.py,19,721,26
all_py,1387,694770.py,25,852,33
all_py,1387,695133.py,22,911,28
all_py,1388,715655.py,15,719,20
all_py,1389,755628.py,8,326,10
all_py,1389,711245.py,7,398,10
all_py,1389,694936.py,11,462,16
all_py,1389,136329.py,10,413,14
all_py,1389,696057.py,10,514,14
all_py,1394,708628.py,6,596,9
all_py,1394,709807.py,25,893,20
all_py,1394,150287.py,18,922,27
all_py,1394,708422.py,27,1114,38
all_py,1394,150293.py,33,1452,50
all_py,1395,149976.py,8,383,11
all_py,1395,149561.py,8,396,12
all_py,1395,149726.py,8,437,12
all_py,1395,150063.py,7,446,10
all_py,1395,713605.py,15,636,20
all_py,1396,774087.py,8,340,9
all_py,1396,684582.py,14,462,15
all_py,1396,684393.py,18,561,21
all_py,1396,681955.py,25,646,23
